iter	Passed	Remaining
401	16017	23826
402	16056	23785
403	16094	23743
404	16132	23700
405	16172	23661
406	16210	23619
407	16249	23577
408	16289	23538
409	16328	23496
410	16367	23455
411	16406	23414
412	16445	23374
413	16484	23333
414	16525	23294
415	16566	23256
416	16604	23214
417	16642	23172
418	16682	23131
419	16720	23090
420	16758	23048
421	16797	23007
422	16839	22970
423	16879	22930
424	16919	22891
425	16959	22850
426	16997	22809
427	17038	22770
428	17076	22729
429	17116	22689
430	17157	22651
431	17196	22609
432	17235	22568
433	17275	22530
434	17314	22488
435	17353	22448
436	17391	22406
437	17430	22364
438	17469	22323
439	17510	22286
440	17549	22245
441	17589	22205
442	17628	22164
443	17667	22124
444	17706	22083
445	17745	22042
446	17784	22001
447	17823	21960
448	17863	21921
449	17901	21879
450	17939	21838
451	17977	21795
452	18015	21754
453	18054	21713
454	18094	21673
455	18133	21632
456	18172	21591
457	18210	21550
458	18250	21511
459	18289	21469
460	18328	21429
461	18365	21386
462	18403	21345
463	18442	21303
464	18481	21263
465	18520	21223
466	18558	21181
467	18598	21142
468	18648	21113
469	18688	21073
470	18728	21034
471	18769	20995
472	18807	20954
473	18845	20912
474	18884	20872
475	18922	20831
476	18962	20790
477	18999	20748
478	19038	20707
479	19076	20666
480	19113	20623
481	19151	20582
482	19190	20541
483	19230	20501
484	19280	20472
485	19319	20433
486	19357	20391
487	19395	20349
488	19433	20307
489	19471	20266
490	19511	20226
491	19552	20188
492	19591	20148
493	19632	20109
494	19670	20068
495	19708	20026
496	19747	19985
497	19785	19944
498	19824	19904
499	19865	19865
500	19904	19824
501	19943	19784
502	19981	19743
503	20020	19703
504	20060	19663
505	20099	19622
506	20137	19581
507	20176	19541
508	20214	19499
509	20251	19457
510	20290	19417
511	20328	19375
512	20365	19333
513	20404	19292
514	20441	19250
515	20483	19213
516	20522	19173
517	20562	19133
518	20600	19092
519	20640	19052
520	20677	19010
521	20715	18969
522	20753	18927
523	20791	18887
524	20829	18845
525	20866	18803
526	20903	18761
527	20942	18721
528	20979	18679
529	21017	18637
530	21055	18597
531	21094	18556
532	21131	18514
533	21169	18473
534	21206	18431
535	21245	18391
536	21283	18350
537	21321	18309
538	21359	18268
539	21397	18227
540	21434	18185
541	21473	18145
542	21511	18104
543	21548	18063
544	21587	18022
545	21624	17980
546	21663	17940
547	21703	17901
548	21741	17860
549	21779	17819
550	21819	17780
551	21856	17738
552	21895	17698
553	21934	17658
554	21972	17617
555	22011	17577
556	22050	17537
557	22089	17497
558	22126	17455
559	22165	17415
560	22203	17375
561	22241	17334
562	22279	17293
563	22318	17253
564	22356	17212
565	22394	17171
566	22432	17131
567	22471	17091
568	22509	17049
569	22547	17009
570	22586	16969
571	22624	16929
572	22663	16889
573	22701	16848
574	22739	16807
575	22778	16767
576	22816	16726
577	22856	16687
578	22895	16647
579	22933	16607
580	22972	16566
581	23009	16525
582	23048	16486
583	23089	16446
584	23129	16407
585	23168	16368
586	23206	16327
587	23244	16286
588	23282	16246
589	23319	16204
590	23357	16164
591	23395	16124
592	23437	16085
593	23476	16046
594	23515	16006
595	23554	15966
596	23593	15926
597	23631	15886
598	23669	15845
599	23709	15806
600	23746	15765
601	23784	15724
602	23821	15683
603	23860	15643
604	23898	15603
605	23936	15562
606	23976	15523
607	24013	15482
608	24051	15441
609	24091	15402
610	24130	15362
611	24169	15322
612	24207	15282
613	24245	15241
614	24283	15201
615	24320	15160
616	24357	15119
617	24395	15079
618	24434	15039
619	24474	15000
620	24511	14959
621	24549	14919
622	24587	14878
623	24625	14838
624	24663	14798
625	24702	14758
626	24740	14718
627	24790	14684
628	24826	14643
629	24865	14603
630	24902	14562
631	24940	14522
632	24977	14481
633	25017	14442
634	25057	14403
635	25094	14362
636	25131	14321
637	25171	14282
638	25210	14242
639	25247	14201
640	25284	14161
641	25321	14120
642	25359	14079
643	25397	14039
644	25437	14000
645	25475	13960
646	25513	13919
647	25550	13879
648	25588	13839
649	25628	13799
650	25666	13759
651	25703	13718
652	25740	13678
653	25778	13638
654	25816	13598
655	25855	13558
656	25893	13518
657	25931	13478
658	25970	13438
659	26007	13397
660	26044	13357
661	26082	13317
662	26132	13283
663	26169	13242
664	26207	13202
665	26244	13161
666	26281	13121
667	26318	13080
668	26356	13040
669	26395	13001
670	26433	12960
671	26470	12920
672	26511	12881
673	26550	12842
674	26588	12801
675	26627	12762
676	26666	12722
677	26702	12681
678	26740	12641
679	26778	12601
680	26816	12561
681	26853	12521
682	26892	12481
683	26933	12443
684	26972	12403
685	27010	12363
686	27053	12325
687	27092	12285
688	27131	12246
689	27173	12208
690	27213	12169
691	27252	12129
692	27294	12091
693	27335	12052
694	27375	12013
695	27420	11976
696	27461	11938
697	27502	11899
698	27542	11860
699	27579	11819
700	27618	11780
701	27658	11741
702	27698	11702
703	27737	11662
704	27777	11623
705	27817	11584
706	27856	11544
707	27896	11505
708	27939	11467
709	27979	11428
710	28019	11389
711	28059	11349
712	28098	11310
713	28135	11270
714	28172	11229
715	28211	11190
716	28249	11150
717	28287	11110
718	28325	11070
719	28364	11030
720	28404	10991
721	28444	10952
722	28483	10912
723	28521	10872
724	28562	10834
725	28603	10795
726	28645	10757
727	28686	10718
728	28729	10680
729	28772	10642
730	28816	10604
731	28855	10564
732	28896	10525
733	28935	10486
734	28975	10446
735	29014	10407
736	29054	10368
737	29091	10327
738	29131	10288
739	29170	10249
740	29209	10209
741	29249	10170
742	29290	10131
743	29332	10092
744	29374	10054
745	29417	10016
746	29460	9977
747	29501	9938
748	29542	9900
749	29585	9861
750	29625	9822
751	29663	9782
752	29702	9742
753	29743	9704
754	29782	9664
755	29824	9626
756	29865	9586
757	29906	9547
758	29948	9509
759	29985	9469
760	30024	9429
761	30065	9390
762	30105	9351
763	30160	9316
764	30197	9276
765	30235	9236
766	30273	9196
767	30309	9156
768	30355	9118
769	30399	9080
770	30451	9044
771	30514	9011
772	30575	8978
773	30625	8942
774	30670	8904
775	30716	8866
776	30761	8828
777	30803	8789
778	30844	8750
779	30885	8711
780	30923	8671
781	30964	8631
782	31003	8592
783	31041	8552
784	31079	8512
785	31118	8472
786	31157	8432
787	31198	8393
788	31238	8354
789	31279	8314
790	31320	8275
791	31362	8236
792	31403	8197
793	31445	8158
794	31486	8119
795	31526	8079
796	31566	8040
797	31604	8000
798	31643	7960
799	31679	7919
800	31717	7879
801	31756	7840
802	31796	7800
803	31835	7760
804	31877	7721
805	31918	7682
806	31956	7642
807	31995	7602
808	32034	7563
809	32073	7523
810	32112	7483
811	32152	7444
812	32192	7404
813	32235	7365
814	32275	7326
815	32318	7287
816	32367	7249
817	32405	7210
818	32445	7170
819	32483	7130
820	32523	7091
821	32563	7051
822	32605	7012
823	32644	6972
824	32681	6932
825	32718	6892
826	32761	6853
827	32803	6814
828	32841	6774
829	32880	6734
830	32920	6695
831	32959	6655
832	32998	6615
833	33037	6575
834	33076	6536
835	33118	6496
836	33156	6457
837	33195	6417
838	33235	6377
839	33272	6337
840	33310	6297
841	33352	6258
842	33391	6218
843	33430	6179
844	33468	6139
