iter	RMSE
0	28.97722614
1	28.587421
2	28.22437022
3	27.86956815
4	27.52951116
5	27.19722263
6	26.88504886
7	26.57868888
8	26.27689515
9	25.99306878
10	25.71829263
11	25.45424853
12	25.19668454
13	24.95416352
14	24.70614777
15	24.47628132
16	24.24846511
17	24.03616499
18	23.82471411
19	23.62390665
20	23.43278434
21	23.24691381
22	23.06447303
23	22.89636121
24	22.72342991
25	22.56896786
26	22.42048186
27	22.27392686
28	22.12765745
29	21.99706739
30	21.86545348
31	21.73095379
32	21.60328259
33	21.47906876
34	21.3603824
35	21.25005004
36	21.1416003
37	21.0335346
38	20.92817554
39	20.82288813
40	20.72423392
41	20.63597101
42	20.54568574
43	20.44948542
44	20.3699699
45	20.28731423
46	20.21577737
47	20.14088535
48	20.07089951
49	20.0042089
50	19.92486692
51	19.862095
52	19.79783644
53	19.73413443
54	19.66836489
55	19.61471927
56	19.54790282
57	19.48369597
58	19.42364434
59	19.36472954
60	19.31109727
61	19.25694745
62	19.19214939
63	19.14280477
64	19.0873743
65	19.03154824
66	18.98712021
67	18.93025607
68	18.89239304
69	18.84820666
70	18.81011955
71	18.76339692
72	18.70802353
73	18.66960237
74	18.63252241
75	18.58932107
76	18.55666983
77	18.52442294
78	18.48891672
79	18.45486441
80	18.41909796
81	18.39238836
82	18.36298797
83	18.32420307
84	18.281196
85	18.25509441
86	18.22670522
87	18.19737522
88	18.16705158
89	18.14473217
90	18.11497831
91	18.08949282
92	18.05958238
93	18.03228643
94	17.99920654
95	17.97154168
96	17.94760322
97	17.92047107
98	17.89911311
99	17.86984946
100	17.83962804
101	17.81532433
102	17.79690144
103	17.78182845
104	17.75909106
105	17.7359925
106	17.71625917
107	17.69983235
108	17.67207675
109	17.64737759
110	17.62226401
111	17.59541565
112	17.56660712
113	17.54842561
114	17.52911659
115	17.50225317
116	17.4784018
117	17.46175837
118	17.44273274
119	17.42950438
120	17.40762798
121	17.38740551
122	17.37274905
123	17.3520011
124	17.33804815
125	17.32401309
126	17.30539861
127	17.29085082
128	17.27012482
129	17.25291834
130	17.23937622
131	17.21968546
132	17.20147882
133	17.1844048
134	17.16684342
135	17.15225422
136	17.13535136
137	17.11587837
138	17.09646032
139	17.07884697
140	17.06568804
141	17.05292328
142	17.03760998
143	17.0215406
144	17.00699165
145	16.99222956
146	16.98198293
147	16.96607377
148	16.95544199
149	16.9370476
150	16.92322236
151	16.90868237
152	16.90115126
153	16.88365204
154	16.86868912
155	16.85613612
156	16.84594372
157	16.83151552
158	16.81287443
159	16.80031617
160	16.78964846
161	16.77667795
162	16.76079683
163	16.74460923
164	16.73172478
165	16.71913583
166	16.70472536
167	16.68810723
168	16.67416829
169	16.66113757
170	16.64839764
171	16.63852445
172	16.62545519
173	16.61232389
174	16.5984783
175	16.58816832
176	16.57590582
177	16.56405944
178	16.55067217
179	16.53822564
180	16.52443717
181	16.50901471
182	16.49808321
183	16.4861654
184	16.46577225
185	16.45868067
186	16.44560846
187	16.4327939
188	16.42010158
189	16.40763965
190	16.40000002
191	16.39069349
192	16.3812155
193	16.36376947
194	16.3517153
195	16.33633419
196	16.32420479
197	16.31644702
198	16.29818464
199	16.28566322
200	16.2701542
201	16.26055297
202	16.24948759
203	16.23878169
204	16.22982872
205	16.21688614
206	16.20614344
207	16.20080401
208	16.1893527
209	16.18038235
210	16.16903937
211	16.15863246
212	16.14463157
213	16.13513043
214	16.12228018
215	16.10721351
216	16.09588992
217	16.08577124
218	16.07508181
219	16.06170623
220	16.04654318
221	16.03458138
222	16.02642436
223	16.01120241
224	16.00018662
225	15.98728348
226	15.97908077
227	15.96926781
228	15.96284132
229	15.95297453
230	15.94004474
231	15.93179715
232	15.92432192
233	15.91241879
234	15.90693617
235	15.89110906
236	15.87831388
237	15.87064649
238	15.8601358
239	15.84638255
240	15.83629918
241	15.82211832
242	15.81405395
243	15.80326328
244	15.79195404
245	15.78556535
246	15.77472137
247	15.76767291
248	15.75751922
249	15.74542123
250	15.73284236
251	15.72373547
252	15.71329085
253	15.70393627
254	15.69586961
255	15.68753927
256	15.68176755
257	15.67282551
258	15.66085084
259	15.65054936
260	15.63852878
261	15.6263073
262	15.61379813
263	15.60339481
264	15.59135549
265	15.57988869
266	15.57016819
267	15.55791843
268	15.54614652
269	15.53855728
270	15.53226387
271	15.52086846
272	15.51153504
273	15.50327754
274	15.49568442
275	15.48288603
276	15.47411452
277	15.46258691
278	15.45467471
279	15.44600968
280	15.4387954
281	15.43225103
282	15.42367879
283	15.41678476
284	15.40578898
285	15.39683346
286	15.38810399
287	15.37960576
288	15.3717249
289	15.3617831
290	15.35021471
291	15.3387624
292	15.32819267
293	15.31925876
294	15.30466892
295	15.29454303
296	15.28643631
297	15.27766172
298	15.26887943
299	15.25985152
300	15.25001581
301	15.24006093
302	15.23009711
303	15.22090478
304	15.21154937
305	15.20554367
306	15.19734649
307	15.19180264
308	15.18742083
309	15.18290618
310	15.17290099
311	15.16498376
312	15.15795527
313	15.15155665
314	15.1382854
315	15.12675389
316	15.11449053
317	15.10147396
318	15.0932468
319	15.08494191
320	15.07501792
321	15.06786803
322	15.05853536
323	15.04859679
324	15.04561905
325	15.03983929
326	15.0307562
327	15.02593886
328	15.01871564
329	15.01176989
330	14.99807342
331	14.99204708
332	14.9839441
333	14.977175
334	14.97082725
335	14.96366124
336	14.9582069
337	14.94839434
338	14.94082003
339	14.93165983
340	14.9217854
341	14.90779423
342	14.89961839
343	14.88720268
344	14.8791447
345	14.87008764
346	14.85986566
347	14.85161318
348	14.8440433
349	14.83749441
350	14.82932524
351	14.81947088
352	14.80915491
353	14.79976922
354	14.79207212
355	14.78451105
356	14.77424049
357	14.76447515
358	14.75707822
359	14.74293593
360	14.73607919
361	14.72774559
362	14.72054186
363	14.71234642
364	14.70796066
365	14.69815857
366	14.6902875
367	14.68535002
368	14.67390454
369	14.66444819
370	14.65398886
371	14.64394262
372	14.63583707
373	14.62800897
374	14.62227175
375	14.613069
376	14.60501771
377	14.59906809
378	14.59190517
379	14.58242984
380	14.57358675
381	14.5639505
382	14.55511724
383	14.54463012
384	14.5389696
385	14.53072607
386	14.5237375
387	14.51793583
388	14.51064897
389	14.50561345
390	14.49795142
391	14.4905702
392	14.48266325
393	14.47331498
394	14.46881525
395	14.46367491
396	14.45502401
397	14.44816787
398	14.44195933
399	14.4327657
400	14.42714714
401	14.41767361
402	14.40735185
403	14.39977363
404	14.39306435
405	14.38725492
406	14.3798
407	14.37545907
408	14.36965436
409	14.36132028
410	14.35574394
411	14.35034144
412	14.34577157
413	14.33956829
414	14.33013235
415	14.3229796
416	14.31561858
417	14.30725095
418	14.30053293
419	14.29588932
420	14.29029082
421	14.28422326
422	14.27527209
423	14.26935591
424	14.2613857
425	14.25685119
426	14.24758267
427	14.24059779
428	14.23257503
429	14.22780458
430	14.2195737
431	14.21103418
432	14.20662453
433	14.2011895
434	14.19427637
435	14.18600373
436	14.17823027
437	14.1724779
438	14.16646373
439	14.15886376
440	14.14967172
441	14.14290506
442	14.13479909
443	14.12878144
444	14.12197574
445	14.11403077
446	14.10863828
447	14.10188356
